religion,district,subdistrict,pop_p,pop_m,pop_f,cases_p,cases_m,cases_f,ins_p,ins_pb,ins_m,ins_mb,ins_f,ins_fb,b1_p,b1_pb,b1_m,b1_mb,b1_f,b1_fb,bl_p,bl_pb,bl_m,bl_mb,bl_f,bl_fb,df_p,df_pb,df_m,df_mb,df_f,df_fb,dd_p,dd_pb,dd_m,dd_mb,dd_f,dd_fb
christians,Northern,ALL,37755,19270,18485,626,314,312,21,1,15,1,6,0,356,7,186,4,170,3,158,6,70,2,88,4,77,1,34,1,43,0,14,3,9,1,5,2
christians,Northern,Tulkarm,356,203,153,3,2,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
christians,Northern,Nablus,1214,615,599,19,7,12,0,0,0,0,0,0,12,2,5,2,7,0,5,1,2,0,3,1,2,0,0,0,2,0,0,0,0,0,0,0
christians,Northern,Jenin,851,412,439,27,11,16,0,0,0,0,0,0,19,0,7,0,12,0,6,1,4,1,2,0,1,0,0,0,1,0,1,0,0,0,1,0
christians,Northern,Nazareth,7384,3629,3755,183,79,104,7,1,4,1,3,0,105,0,40,0,65,0,48,2,23,1,25,1,19,0,9,0,10,0,4,1,3,1,1,0
christians,Northern,Beisan,477,271,206,6,4,2,0,0,0,0,0,0,4,0,2,0,2,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
christians,Northern,Tiberias,1734,892,842,22,8,14,0,0,0,0,0,0,17,0,7,0,10,0,3,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0
christians,Northern,Haifa,16492,8629,7863,163,91,72,11,0,9,0,2,0,84,2,52,1,32,1,45,1,19,0,26,1,21,0,10,0,11,0,2,1,1,1,1,0
christians,Northern,Acre,7672,3809,3863,175,102,73,3,0,2,0,1,0,95,3,62,2,33,1,40,1,19,1,21,0,31,1,14,1,17,0,6,1,5,1,1,0
christians,Northern,Safad,1575,810,765,28,10,18,0,0,0,0,0,0,18,0,9,0,9,0,9,2,1,0,8,2,1,0,0,0,1,0,0,0,0,0,0,0
jews,Palestine,ALL,174610,88100,86510,1156,597,559,249,1,118,0,131,1,454,5,253,3,201,2,244,3,131,2,113,1,163,2,71,1,92,1,46,6,24,3,22,3
jews,Southern,ALL,78723,39827,38896,270,143,127,51,0,27,0,24,0,102,1,65,1,37,0,38,0,18,0,20,0,62,1,26,1,36,0,17,3,7,2,10,1
jews,Southern,Gaza,421,240,181,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jews,Southern,Beersheba,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
