city	n_records	grade	method	confidence	kima_id	kima_name_rom	kima_lat	kima_lon	geo_audit	religion_mix	proposed_decision	your_decision	your_kima_id	note	candidates
Hartel Kashleh	3	C_review		0.0					no-candidate	Christian 3					
Kisra	3	C_review	fuzzy	1.0					no-candidate	Not recorded 3					69497|6936|20262|72487|14632
Acre District	3	C_review	fuzzy	0.6					no-candidate	Muslim 3					82493
Wadi Rushmiya	3	C_review		0.0					no-candidate	Muslim 3					
Tiri	3	C_review		0.0					no-candidate	Muslim 3					
Acre S/Dist	3	C_review		0.0					no-candidate	Muslim 1, Not recorded 1, Christian 1					
Kakoun	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					2747|14540
Roshpina	3	C_review	fuzzy	1.0					no-candidate	Christian 2, Muslim 1					14873|375|4509|84577
Breikeh	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					577|86433
Ain Hod	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					18441|26578
Caesaria	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					6936|26932|13681|9369
Freidis	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					70253|84891
Faradieh	3	C_review		0.0					no-candidate	Christian 2, Not recorded 1					
London	3	C_review	name_ambiguous	0.5					no-candidate	Christian 3					6463|20873
Tiberias|Dept of Police, Tiberias	3	C_review	fuzzy	1.0					no-candidate	Muslim 2, Christian 1					807|7437|17277|5277
Nahr	3	C_review	name_ambiguous	0.5					no-candidate	Muslim 3					619|16865
Lubieh	3	C_review		0.0					no-candidate	Muslim 3					
Ibellin	3	C_review	fuzzy	1.0					no-candidate	Muslim 2, Christian 1					21569|86416
Shafa	3	C_review	fuzzy	1.0					no-candidate	Muslim 2, Christian 1					70946|16999|22080
Mansi	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					10671|12945|13341|187|8014
Zababdeh	3	C_review		0.0					no-candidate	Muslim 2, Christian 1					
Nadel Yahud	3	C_review		0.0					no-candidate	Not recorded 2, Muslim 1					
Rihaniya	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					72003|86151|23436|14239|6181
Berkin	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					14595|87581|15952|15209|26987
Jezzin	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					26946
Wadi Nisnas (Haifa)	3	C_review	fuzzy	0.667					no-candidate	Christian 2, Muslim 1					85346
Kafr Rai	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					88748|89992
Shuweika	3	C_review	fuzzy	0.667					no-candidate	Muslim 2, Christian 1					73073
Umm az-Zinat	3	C_review		0.0					no-candidate	Muslim 3					
Damoun|Damun	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					921|17311|18528|14340
Daliyat al-Karmel	3	C_review	fuzzy	1.0					no-candidate	Not recorded 3					73128
Kabul	3	C_review	name_ambiguous	0.5					no-candidate	Muslim 3					8230|21578
Khalsa	3	C_review	fuzzy	1.0					no-candidate	Muslim 2, Not recorded 1					485
Deir al-Asad	3	C_review		0.0					no-candidate	Muslim 3					
Bala'	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					74068|17913|19240|86191|16370
Kirweh	3	C_review		0.0					no-candidate	Muslim 2, Christian 1					
Um El Fahim	3	C_review	fuzzy	0.75					no-candidate	Muslim 3					743
Saffuriyya	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					85997|406|3544
Akre	3	C_review		0.0					no-candidate	Muslim 2, Christian 1					
Attil	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					70902|7886
Birkin	3	C_review	fuzzy	1.0					no-candidate	Muslim 2, Not recorded 1					87581|14595|15952|15209|26987
Burka	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					24642|75548|6702|13619|70198
Safsaf	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					828
Kufr Manda	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					21581|5811|25478
Kufr Qari'	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					20116
