n	id	date	publication	title	snippet
42	hmf19470611-01.2.74	11 June 1947	hmf	_ח!חיד _וחצבוד	"<div class=""txtsearchsnippet"">... ששירת בשעת המלחמה בצבא הבריטי , נתמנה כמגן מנהל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה. — לרגל יום הולדת המלד ב־12 ביוני ...</div>"
43	hbkr19380127-01.2.13	27 January 1938	hbkr	עוד שני ילדים, מבין אסירי העליה בצפת חלו באדמת נזרשת פעולה מהירה לה&לת סבלס של נרדפי וגווי	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה''ח הממשלתי</b> מטפל בהם. לפיק־ ב שתו יביא היום לצפת ...</div>"
44	hbkr19380816-01.2.92	16 August 1938	hbkr	פצצה מסוננת הוטמנה ליד בקדח הממשלתי הנבנה בירושלים	"<div class=""txtsearchsnippet"">... נתגלתה אתמול ליד גדר המגרש שבו מקימים את בניני <b class=""highlightcolor"">ביה""ח הממשלתי</b> החזש לאחורי מקור חיים בירושלים — מקום שעובדים ...</div>"
45	hador19481123-01.2.6	23 November 1948	hador	משאלה צנועה בפי עתוגאים ערביים: להעמיר את בה״ח ״הדסה״ לרשות הלגיווהערביבירושלם	"<div class=""txtsearchsnippet"">... על הצלב האדום, שהוציא את אגשיו ואת ציודו מבניני <b class=""highlightcolor"">ביה״ח הממשלתי</b> לשע ברבמגרשם הרוסי בירושלים ו״הפקיר״ את המקום בידי ...</div>"
46	hmf19431118-01.2.32	18 November 1943	hmf	מיפה	"<div class=""txtsearchsnippet"">... בשעת נסיעתו ברח' שבתי לוי, נפצע &gt;שה והועבר ל־ <b class=""highlightcolor"">ביה""ח הממשלתי.</b> נוו0 באוטו אתמול דרס אוטו אלמוני, ערבי שעבר ...</div>"
47	hmf19470812-01.2.64	12 August 1947	hmf	הורע מצב הצעיו שנפצע בהתפוצצות בחיפה	"<div class=""txtsearchsnippet"">... על בית־ הסוהר — עדיין נמצאים באגף האסירים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה.</div>"
48	hmf19471212-01.2.83	12 December 1947	hmf	הותקפו כפרים עוביים ליד ירושלים	"<div class=""txtsearchsnippet"">... דוממה וליפתא. שני ערבים פצועים הובאו מן הכפד ל־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> בירושלים אמש בשעה מאותרת. כפי שנמסר, נכנסה קבוצה ...</div>"
49	hmf19480218-01.2.57	18 February 1948	hmf	ערבי טוען שהכריחוהו לנהוג ן :מכונית עם נשק שדוד	"<div class=""txtsearchsnippet"">... נהג בריטי ושוטר ערבי שנסעו במכינית משטרה ליד ' <b class=""highlightcolor"">ביה""ח הממשלתי</b> בצפת, חטפי את המכונית ונעלמו בה. יש לציין, ...</div>"
50	hmf19460619-01.2.12	19 June 1946	hmf	&#8237;mrm rim &#8236;	"<div class=""txtsearchsnippet"">... המשתתפים הוסעו בשעה ‭5. 30‬ אהה""צ מחדר המתים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה גופותיהם של 11 ההרוגים (שנפלו בהתקפות על ...</div>"
51	ahr19480209-01.2.80	9 February 1948	ahr	"ע_0ד _מחסונעים ה1קמ1 ב""רושל""מ"	"<div class=""txtsearchsnippet"">... סיירה בתחנת מ. ד. א. ובבתי החולים רוטשילד, בית־בורוכוב, <b class=""highlightcolor"">ביה""ח הממשלתי‭"",</b> ‬אל־אמין"" וכן במרכז ""הצלב האדום‭. ""‬חברי המשלחת מעדו ...</div>"
52	hbkr19390713-01.2.71	13 July 1939	hbkr	נידו! לתליה	"<div class=""txtsearchsnippet"">... נאג'יב צלאח מצפת. שנאשם א) ביריות אל האמבילנס של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בצפת ופציעת המר שטרנברג שנסע במכונית. נ) ביריות ...</div>"
53	hbkr19400707-01.2.40	7 July 1940	hbkr	ירושלים	"<div class=""txtsearchsnippet"">... אם ב""הדסה"", היות יבבית־ החולים של בית־הסוהר (והוא סניף <b class=""highlightcolor"">ביה""ח הממשלתי)</b> אין המכשירים הדרושים. מר לנדסברג שוחרר, איסוא, על ...</div>"
54	hmf19480205-01.2.30	5 February 1948	hmf	ןןןןןן ירושלים !וו וווו	"<div class=""txtsearchsnippet"">... אם כי חמשה ימים עבריו מאז מתה מפצעיה ב־ <b class=""highlightcolor"">ביה""ח הממשלתי.</b> בגלל צלב שנמצא עליה נרשמה בשעתו כנוצריה, אולם ...</div>"
55	dav19360923-01.2.10	23 September 1936	dav	לאנס_5זרפזרל מארי 1	"<div class=""txtsearchsnippet"">... בערך. ב־‭8. 30‬ הו-בא ע""י מכונית משו-דיינת _חלאנפ־ קירפורא?מ$ךי <b class=""highlightcolor"">?ביה""ח הממשלתי</b> בצפת כשהוא פצוע ק‭2'‬ה בצוארו, נטו-ל הכרח. העזרה ...</div>"
56	hmf19471026-01.2.57	26 October 1947	hmf	15 עצורים הועברו מלטרון ג' ללטרון א	"<div class=""txtsearchsnippet"">... מלכה גרנ""ייץ ושולמית שי?יר עודן נמצאות במחלק־ לנשים של <b class=""highlightcolor"">ביה""ח הממשלתי.</b> מביקורי הרב אריה לוין הרב אריה לוין ביקר ...</div>"
57	hmf19480128-01.2.64	28 January 1948	hmf	2 קציני־משטוה ערביים נפצעו בהתנקשות	"<div class=""txtsearchsnippet"">... ברגלו. מצב שניהם אינו קשה. הם הועברו לטיפול ל־ <b class=""highlightcolor"">ביה""ח הממשלתי.</b> נקמה פרטית? מחוגים שונים. סבורים כי ההתנקשות בשני ...</div>"
58	hbkr19390511-01.2.98	11 May 1939	hbkr	"נתאשו פסזדד של מעפילי ""אדםמיזזד"	"<div class=""txtsearchsnippet"">... כידוע הועבר לפני ימים מספר אחד המעפילים הנ־ל אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> לרגל כחלת' שחלה בה. שאר ""1 המעפילים• שמועד ...</div>"
