date	pub	page_id	disease	term	haifa	dateline	hospital	epidemic_words	soft_term	window	reg_before	reg_after	reg_deaths_before	reg_coverage	surge	days_after_surge	lead_lag
1940-05-26	difaa	difaa19400526-01.1.2	malaria	الملاريا	page					…باشر موظفو مكافحه الملاريا، بمعونه عدد من الممرضين في دواير الصحه ، الطواف علي القري ، وخاصه الواقعه بجوار المستنقعات والاوديه لارشاد الاهالي الي الطرق الصحيه الحديثه المكافحه …							
1940-07-18	difaa	difaa19400718-01.1.2	smallpox	الجدري	page		y	y		…حادث اصطدام واصابه في الساعه السابعه من مساء ليله امس اصطدمت دراجه ناريه كان يركبها كل من السيدين محمد عهد الجدري ا وسعيد ابراهيم المصري بسياره باص ا يهوديه كبيره بالقرب من كفر سابا فتحطمت الدراجه واصيب راكباها بجراح خطره تقلا علي اثرها الي مستشفي ا ملبس حيث اجري…							
1940-07-29	difaa	difaa19400729-01.1.3	malaria	الملاريا	window			y		…لافا لما يتصوره البعض وتهبط الحراره في اكثر الاحيان في العصر ويستمر الهواء المنعش طول الليل واما من جهه الشايعات بخصوص شده الحر وانتشار الامراض ومنها الملاريا وعدم التصريح بالذهاب فهذا لا صحه له مطلقا فقد منع السفر بضعه حيفا- زاير ايام ثم ازيل والحاله الصحيه حسنه جدا…	0	0	0	absent			no-register-coverage
1941-03-12	difaa	difaa19410312-01.1.2	plague	طاعون	page					…١٥ الف نسمه ودام من الساعه الحاديه عشره ظهرا حتي الخامسه والنصف مساء ونصبت السرادق وكان السباق علي ثلاثه اشواط وزعت فيها جوايز علي الفايزين اباده مرض طاعون وصل الي الرمله حضره الدكتور احمد خيري طبيب بيطري الالمواء وقام بمرافقه الشاب اديب العلم مفتش المواشي في قضاء الرمله بزياره عرب ابو الفضل للتفتيش علي …							
1941-03-16	difaa	difaa19410316-01.1.2	plague	طاعون	page				y	…واء طاعون الدجاج ارسل قايمقام الرمله رقاع الدعو الي مخاتير قضاء الرمله للاجتماع في مكتب يوم الاربعاء القادم لمقابله طبيب بيطر اللواء لارشادهم في شيون طاعون . الدجاج وغير ذلك . وطلب من مخات القري ان يعينوا في اقرب فرصه شخه عن كل حاموله فينتخب شخصان ونقد الاسماء الي القاعقام وظيفه محصل اموال جري يوم امس فح…							
1941-03-23	difaa	difaa19410323-01.1.2	malaria	الملاريا	page					…لعامه في فلسطين الذي قررته وزاره المستعمرات في الصيف الماضي . وياتي في المقدمه مشروع تحسين الانتاج الزراعي وانعاش للقري بتنظيم الري في البلاد ومكافحه الملاريا وانشاء عيادات طبيه متنقله في بعض القري المتوسطه وبناء بيوت موذجيه صحيه ليقوم القرويون بانشاء مثلها مع مراعاه البساطه في التكاليف وتعتبر مساله انشاء م…							
1941-03-27	difaa	difaa19410327-01.1.2	typhoid	التيفوييد	page			y		… مفتش التاريخ والجغرافيا في اداره ه المعارف العامه امس مدرسه الشيخ ه مونس الاميريه ، وبعد ان تفقد صفوفها ه واشرف علي سير التعليم فيها عاد الي يافا ضم التيفوييد قام موظفو الصحه بعمليه التطعيم د ضد التيفوييد في قريه الشيخ مونس ن امس بما في ذلك طلاب المدرسه ، وقد سمح الطبيب للطلاب بالانقطاع عن الدراسه ثلاثه ايام اقفلت المدرسه في اثنايها المحكمه المركزيه تس…							
1941-04-13	difaa	difaa19410413-01.1.2	malaria	الملاريا	page					…مكافحه الملاريا…							
1941-04-13	difaa	difaa19410413-01.1.2	malaria	الملاريا	page					…انهي موظفو دواير الصحه الذين انتدبوا من كافه الجهات الحضور الدوره العمليه للتدريب علي مكافحه الملاريا المده التي عينت للتدريب . بعدان قاموا بتمارين عمليه امام كبار الاطباء البريطانيين والعرب بواسطه احدث الطرق التي استنبطت مءخرا واستعمال الرماد بعد مزج…							
1941-04-13	difaa	difaa19410413-01.1.2	malaria	الملاريا	page					…نشطات دواير الصحه في اللواء في تجفيف المستنقعات قرب سكرير والنبي روبين ووادي المقنع استيصالا | الملاريا وذلك بمناسبه قرب حلول فصل الصيف. وقد شرعت في انشاء مراحيض في مدارس القري الاميريه علي نفقه الحكومه…							
