n	id	date	publication	title	snippet
107	ahr19471225-01.2.20	25 December 1947	ahr	רפתה _המת־הות בירושלים	"<div class=""txtsearchsnippet"">... וירו בו שחי יריות שפגעו במותניו. הוא הועבר אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> לדברי הערבים, שהיו באותו מעמר, הטילו הצעירים גם ...</div>"
108	ahr19471228-01.2.7	28 December 1947	ahr	"קציר הץודם &#8237;?a&#8236;ו""ו ו י&#8237;?""1?&#8236; &#8237;_IIJ IIJ &#8236;"	"<div class=""txtsearchsnippet"">... בן 20 ואשד, בת 50 הובאו בשבת אחה""צ אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> סך הכול מתו בחיפה במשך יום ו' ושבת ...</div>"
109	haretz19450219-01.2.23	19 February 1945	haretz	מזכיר הכספים י בפתח־תקוה	"<div class=""txtsearchsnippet"">... כן דיבר בעגין ההצעות שהוגשו מאת המועצות המקומיות להרחבת <b class=""highlightcolor"">בית־החולים הממשלתי</b> ""הירקון"" בתל־ אביב• כמרכז התאחדות האכריפ אתמול בבוקר ...</div>"
110	ahr19480310-01.2.96	10 March 1948	ahr	&#8237;wmm 2&#8236; mm ששדדו	"<div class=""txtsearchsnippet"">... גופות — גבר ואשד"" שלא זוהו. הן נאספו אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> משם הובאו, יחד עם גופה שלישית, שהיתר, שם ...</div>"
111	ahr19470320-01.2.47	20 March 1947	ahr	ירושלים	"<div class=""txtsearchsnippet"">... ‬ כדורים התפוצצו והוא נפצע בשחי ידיו. נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> • תייליפ מתנפליפ ושודדימ ברחוב שדרות הכרמל, התנפלו ...</div>"
112	ahr19481124-01.2.42	24 November 1948	ahr	_bnimi	"<div class=""txtsearchsnippet"">... ברטר, _מיידאנק, בת 13 ברח/ המלכים. היא נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> הנהג שוחרר בערבות. ‭;:‬־*א גשק ע""י שוטרים, שסיידו ...</div>"
113	dav19470212-01.2.6	12 February 1947	dav	המעפיל האלמוני הובא לקברות	"<div class=""txtsearchsnippet"">... הצבור . להשתתף בהלויה. _בי10 לפני הצהרים נתאספו לפני <b class=""highlightcolor"">בית־החולים : הממשלתי</b> בבת־גלים משלחות מטעם הסוכנות היהודית, הקהילה ־עברית ...</div>"
114	haretz19480928-01.2.50	28 September 1948	haretz	בתל־אביב I	"<div class=""txtsearchsnippet"">בג'בליה (יפו) רח' בי מס. ‭12—141‬ ליד <b class=""highlightcolor"">בית־החולים הממשלתי.</b> האוסובוס (של דרום יהודה) לג'בליה יוצא מהתחנה המרכזית ...</div>"
115	haretz19430820-01.2.35	20 August 1943	haretz	בחיפה	"<div class=""txtsearchsnippet"">... צבורית ע רבית מקו מס' 5 (חיפה המזרחית — <b class=""highlightcolor"">בית־החולים הממשלתי)</b> ברחוב יפו. היה בן ‭, 68‬ מיוצאי באר ...</div>"
116	hbkr19391015-01.2.46.2	15 October 1939	hbkr	Page 4 Advertisements Column 2	"<div class=""txtsearchsnippet"">... גדול וכ^הניחיות * $ בבית חדש שבפרדס־כץ (תל־אפרים) מאחרי <b class=""highlightcolor"">בית־החולים הממשלתי</b> ‭. | ‬ * בשכר של 2 לא""י ...</div>"
117	itonmeyuhad19340814-01.2.10	14 August 1934	itonmeyuhad	"מוראות בית■ החולים הממשלתי ביפו ילד חולה עבר גדי בקפיצה להמלט מפני אכזריות האחות הרחמניה ש״טיפולה"" קירב את מותו אנו דורשים חקירה נמרצת"	"<div class=""txtsearchsnippet"">... את] רטרגדיה הנוראה של מיתת בני. מקים הטרגדיה : <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפי. הזמן ; יולי־איגוסש 4כ19• המשתתפים : אחיות ...</div>"
118	hayomjlm19481031-01.2.8	31 October 1948	hayomjlm	ת nxiarrnnan בירושלים	"<div class=""txtsearchsnippet"">... בית לחם. בשלושה מקרים כיונו הערבים אש תותחים מכיוון <b class=""highlightcolor"">בית־החולים הממשלתי</b> לשעבר בבית צפאפת וכן ממר אלאיס. במשך השבוע ...</div>"
119	dav19460818-01.2.45	18 August 1946	dav	מר83ת ר_0רי	"<div class=""txtsearchsnippet"">... :פש. בלןיוב ייפתחו סניפים חדשים באזור ־. צפון, ליד <b class=""highlightcolor"">בית־החולים הממשלתי,</b> ובשבו, ־ ת זאבלאוי. ; _גגחוז תל־אביב מקיף ...</div>"
120	dav19420118-01.2.54	18 January 1942	dav	מושל מה יו שליט־ לחופש	"<div class=""txtsearchsnippet"">... ?סוחרים. עשירים ביפו לבנין בית־חולים ליולדות, שיוקם כאגף ליד <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בדרופה של העיר על שפת הים, בקרבת בת־ים ...</div>"
121	haretz19470202-01.2.36	2 February 1947	haretz	בחיפה	"<div class=""txtsearchsnippet"">... המשטרה בחיפה 'לפני 3 'שבועות עזב ביום ו' את <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בבית־החולים נשארו רק כמה שוסרים בריטיים מנפגעי ההתפוצצות. ...</div>"
122	haretz19460121-01.2.1	21 January 1946	haretz	חיפושים ומעצרים , בירושלים	"<div class=""txtsearchsnippet"">... נהרג הלייסננט קלארק, מחיל השירות ההודי. גופתו הועברה ל־ <b class=""highlightcolor"">בית־החולים הממשלתי.</b> הכרזת חעוצר רחובות ירושלים נתרוקנו מיד, ואותם !אנשים ...</div>"
123	haretz19420626-01.2.60	26 June 1942	haretz	החלה חקירת הנאשמים במכירת פרדס לא להם	"<div class=""txtsearchsnippet"">... באשמה. יחזקאל ביליג שהוא חולה הובא מבית החולים בבגדי <b class=""highlightcolor"">בית־החולים הממשלתי.</b> הוא היחידי, שהופיע בלי עורך־דין. על הנאשמים מלמדים ...</div>"
124	hmf19470526-01.2.65	26 May 1947	hmf	חומרות בלתי־וגילות בבתי הכלא בחג השבועות	"<div class=""txtsearchsnippet"">... ודר, שנפצעו בשעת ההתקפה על בית־הסוהר. הם הועברו מ־ <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה לבית הסוהר בעכו, במקום שהם נמצאים ללא ...</div>"
125	hbkr19470320-01.2.65	20 March 1947	hbkr	גוית אדם נפלדה ליד אשדוד	"<div class=""txtsearchsnippet"">... זיהתה, נפלטה אתמול נהוף אשחד. היא הועברה לחדר־המתים של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בעזה. סבורים, כיהגופה היתד, במים ימים אחדים ייש ...</div>"
126	ahr19470416-01.2.29	16 April 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... פפח לשלוח י ד בנפשה בצורה דומה. גווייחה הועברה <b class=""highlightcolor"">?_בית־החולים הממשלתי</b> בפרדס בייץ י יבדיקה. הרעילו קיבותיהם בגבינה 5 ...</div>"
127	dav19471017-01.2.114	17 October 1947	dav	מפנקס הזמו	"<div class=""txtsearchsnippet"">... יום וחבורות אבלים מוכי האסון עמדו קודרים ואומללים ליד <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה, שעות מעטות לאחר שקול הנפץ העז הרעיש ...</div>"
128	dav19470519-01.2.81	19 May 1947	dav	Untitled	"<div class=""txtsearchsnippet"">... עשרה ימים נדוטף תייוק של ערביה ממחלקת היולדות של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. לפי מכתב אנונימי שנתקבל במשטרה נמצא התינוק ...</div>"
129	haretz19461101-01.2.45	1 November 1946	haretz	מעצרים וחיפושים אהרי ההתק -פה על תחנת־הרכבת בירושלים	"<div class=""txtsearchsnippet"">... שונים בעיר. ביהוד הוגברה השמירה על מגרש־הרוסים בו נמצא <b class=""highlightcolor"">בית־החולים הממשלתי.</b> נערכו חיפושים ונבדקו תעו־ מת הזהות אצל כל ...</div>"
130	hbkr19480109-01.2.7	9 January 1948	hbkr	שני יהודים נרצחו בירושלים	"<div class=""txtsearchsnippet"">... לא ביותר קשה. מ. מנן רד אדופ־ התקשרו עפ <b class=""highlightcolor"">ביתהחולים הממשלתי</b> ושאלי על אופן העברת הפצוע. שהוא יהויי, לבית־חוליפ ...</div>"
131	hzh19461126-01.2.52	26 November 1946	hzh	ידועטפ אזעקת שוו בירושלים	"<div class=""txtsearchsnippet"">... מצודת ירושלים לעברמכונית י שעברה ליד המדור הבריטי של <b class=""highlightcolor"">בית־החולים הממשלתי.</b> עם האזעקה נפסקה התנועה בעיר, והשמירה על המצודה ...</div>"
132	ahr19470528-01.2.33	28 May 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... בהר הכרמל, נגרם פצע מיריד, כירך. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה ומת למחרת בבוקר. פקיד דואר נאשם במעילה ...</div>"
133	ahr19470720-01.2.11	20 July 1947	ahr	"מעפילייציאת אירופה"" גודש!לקפה•™ """	"<div class=""txtsearchsnippet"">... 1832 גברים‭1602, ‬ נשים‭955, ‬ ילדים. החולים שנשלחו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> הם ל1 גברים' 0נ נשים וילד אחד‭22. ‬ ...</div>"
134	ahr19481203-01.2.47	3 December 1948	ahr	&#8237;?? ^^ ;&#8236; •?&#8237;:t? -- &#8236;	"<div class=""txtsearchsnippet"">... לבת־ גלים. לילו נגרם מבר ברגל, הוא נאסף *ל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> כמשרד, שרכות כו התלונות‭... ‬ _רניט הם הפונים ...</div>"
135	haretz19370214-01.2.17	14 February 1937	haretz	רצח ושוד בכל הארץ	"<div class=""txtsearchsnippet"">... מידית טירוריסט ערבי ורק לפני ימים מספר עזב את <b class=""highlightcolor"">בית־החולים הממשלתי,</b> • ירד ממטתו כשידו חבושה, אך הוא לא ...</div>"
136	ahr19470526-01.2.29	26 May 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... מחמוד אברהם הובא מת במרצאי י רם הי אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה. נדום ע""י מכונית. הוא כנראה מג'נין כבן ...</div>"
137	dav19480917-01.2.35	17 September 1948	dav	משהו ממעשה בראשית	"<div class=""txtsearchsnippet"">... ‭"". ‬תנו ובצאתם חזיר;למקום אשר משם באו. על מרפסת <b class=""highlightcolor"">-בית_""החולים הממשלתי</b> הקשבתי לדברי _£מו של אחד החיילים הפצועים בשיחתה ...</div>"
138	haretz19460121-01.2.32	21 January 1946	haretz	במושבות	"<div class=""txtsearchsnippet"">... אתמול אחה""צ בשעה שהלך בכביש ע""י בני־ברק• אמבולאנם שי <b class=""highlightcolor"">בית־החולים הממשלתי</b> שעבר במקום במקרה העבירו לבית החולים . הדסה"" ...</div>"
139	dav19360818-01.2.69	18 August 1936	dav	מכשירים את הרצח מבפנים ומצטערים לאחר מעשה כלפי חח	"<div class=""txtsearchsnippet"">... ‭"" "" ?!:‬ כי בשעה ששתי צעירות עמדו :צער <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו נפי. ע_$ ביריות. אחת נהרגה ואחת נפצעה ...</div>"
140	dav19470904-01.2.18	4 September 1947	dav	נגד &#8237;?!&#8236;_מק&#8237;_^_3&#8236;י &#8237;_4*3_^_3&#8236;ח	"<div class=""txtsearchsnippet"">... מפירי השביתה‭4. ‬ נפצעו קשה _בפגינימ ובמקלות והועברו אל <b class=""highlightcolor"">ביתהחולים הממשלתי‭??......</b> ‬• _^</div>"
141	dav19480122-01.2.10	22 January 1948	dav	הטון ש_^טימ _בערביפ מזוינים _3_ירושלימ	"<div class=""txtsearchsnippet"">... ששה ‭;, ‬ ימים. מחברה קדישא התקשרו טלפונית עם <b class=""highlightcolor"">בית־החולים הממשלתי,</b> כדי לברר, מאין _הובאה הגרה והיכן נמצאה, אך ...</div>"
142	haretz19420719-01.2.49	19 July 1942	haretz	מרכז הטלפונים האבטומאטי נפתח בחיפה	"<div class=""txtsearchsnippet"">... ליד בית־חחולים לעינים, והתאימה אותו לבית־חולים לשעת־חידום, למחלות מדבקות. <b class=""highlightcolor"">בית־החולים הממשלתי</b> לשעת־חירום ישמש בעיקר את האוכלוסיד, הערבית, בסביבות ירושלים, ...</div>"
