n	id	date	publication	title	snippet
62	haretz19480504-01.2.42	4 May 1948	haretz	השלטון הצבאי העברי בחיפה הוחלה במשטר עברי אזרחי	"<div class=""txtsearchsnippet"">השלטון הצבאי העברי <b class=""highlightcolor"">בחיפה</b> הוחלה במשטר עברי אזרחי</div>"
63	hzh19480620-01.2.35	20 June 1948	hzh	המצב בבית החרלים הממשלתי בחיפה	"<div class=""txtsearchsnippet"">המצב בבית החרלים הממשלתי <b class=""highlightcolor"">בחיפה</b></div>"
64	dav19360103-01.2.55	3 January 1936	dav	3 ד!י 3 ה	"<div class=""txtsearchsnippet"">(מתוך שיחת עם מנהל קו""ת <b class=""highlightcolor"">בחיפה,</b> ז. בובבינדר)</div>"
65	khm19480504-01.2.49	4 May 1948	khm	"פעולה להעברת ביה""וו הממשלתי בחיפה לרשות יהודית"	"<div class=""txtsearchsnippet"">פעולה להעברת ביה""וו הממשלתי <b class=""highlightcolor"">בחיפה</b> לרשות יהודית</div>"
66	dav19400910-01.2.43	10 September 1940	dav	הכנות להקמת בנק בית-חולים בחיפה	"<div class=""txtsearchsnippet"">הכנות להקמת בנק בית-חולים <b class=""highlightcolor"">בחיפה</b></div>"
67	haretz19381127-01.2.24	27 November 1938	haretz	"לשאלתבניןביה""ח ,הדסה"" בחיפה"	"<div class=""txtsearchsnippet"">לשאלתבניןביה""ח , הדסה"" <b class=""highlightcolor"">בחיפה</b></div>"
68	hzh19421127-01.2.37	27 November 1942	hzh	שוחררו אחרוני המוחלפים	"<div class=""txtsearchsnippet"">... ישוחרר כנראה בקרוב. ליגה לעזרת ארמניה ?_הסוגעצית ?למושל המתיז <b class=""highlightcolor"">בחיפה.</b> היגיושו השבוע בק שה 'מטעם אגודת הנוער הארמני <b class=""highlightcolor"">בחיפה,</b> ...</div>"
69	haretz19440403-01.2.3	3 April 1944	haretz	הצעיר שנפצע בשבת בחיפה, מת מפצעיו	"<div class=""txtsearchsnippet"">הצעיר שנפצע בשבת <b class=""highlightcolor"">בחיפה,</b> מת מפצעיו</div>"
70	haretz19470630-01.2.6	30 June 1947	haretz	! מתו שנים מפצועי מוצאי־־שבת בחיפה ותיא	"<div class=""txtsearchsnippet"">! מתו שנים מפצועי מוצאי־־שבת <b class=""highlightcolor"">בחיפה</b> ותיא</div>"
71	dav19391024-01.2.35	24 October 1939	dav	למגבו ש?בית־החולים בחיפה העברי	"<div class=""txtsearchsnippet"">למגבו ש?בית־החולים <b class=""highlightcolor"">בחיפה</b> העברי</div>"
72	haretz19480310-01.2.83	10 March 1948	haretz	קרב בדרך ליחיעם	"<div class=""txtsearchsnippet"">... בשעות אחר הצהרים המוקדמות הופרעה התחבורה היהודית ברחוב הגפן <b class=""highlightcolor"">בחיפה.</b> ב־3 אחר הצהרים גורו שם יריות על מכוגית סאכסי ...</div>"
73	hmf19480126-01.2.34	26 January 1948	hmf	_בית־החוליפ הממשלתי בחיפה הפך למוסד ערבי טהור	"<div class=""txtsearchsnippet"">_בית־החוליפ הממשלתי <b class=""highlightcolor"">בחיפה</b> הפך למוסד ערבי טהור</div>"
74	hmf19390628-01.2.39	28 June 1939	hmf	חיפה	"<div class=""txtsearchsnippet"">... השבועהתקיימה ישיבה משותפת של נשיאות הקהלה והועד -המנהל של <b class=""highlightcolor"">בית החולים</b> בהשתתפות ב""כ פיק""א, בה דנו על האפשרויות לבנין ...</div>"
75	dav19320718-01.2.16	18 July 1932	dav	לאחר םנירת ביח&#8237;''&#8236;ח בעמק	"<div class=""txtsearchsnippet"">... לח את מושל יצרת והגישה לו תזכיר לרגל מניירת <b class=""highlightcolor"">בית החולים</b> בעמק ‭.. ‬במשך השבוע, שעבר אחרי סגירת בית ...</div>"
76	haretz19440604-01.2.26	4 June 1944	haretz	רשימות מהיפה	"<div class=""txtsearchsnippet"">... ‭20‬ בפברואר). ימדתי בפרטות על ""לבטי אישפוז החולים ;יהודים <b class=""highlightcolor"">בחיפה""</b> ועל הצורך בהרחבת מת ־. חולים רוטשילד של הקהילה ...</div>"
77	haam19310529-01.2.38	29 May 1931	haam	חיפה	"<div class=""txtsearchsnippet"">... קיץ בנוסה אירופה שלשים ישעה 9 ורצי בערב ירד <b class=""highlightcolor"">בחיפה</b> נשם חזק בלוית רעמים וברקי:, אספה סוערת של מחוסרי ...</div>"
78	hmf19461224-01.2.59	24 December 1946	hmf	חיפה	"<div class=""txtsearchsnippet"">... הגיעה לנמל חיפה. גופתה הורדה מן האניה והובאה לקבורה <b class=""highlightcolor"">בחיפה.</b> יש להתפלא על שלא הורשה לבנה ללוות את גופתה ...</div>"
79	hbkr19400701-01.2.86	1 July 1940	hbkr	תאונות האפלה בחיפה	"<div class=""txtsearchsnippet"">תאונות האפלה <b class=""highlightcolor"">בחיפה</b></div>"
80	ahr19480428-01.2.70	28 April 1948	ahr	"גיורם לאחיות &#8237;""'11&#8236; _בי_1דוז _ד_^_שירד בחינה"	"<div class=""txtsearchsnippet"">הרשמת תלמידות לשנה א' הנהלת ביר, הסכר לאחיות ע""י <b class=""highlightcolor"">בית החולים</b> רוטשילד <b class=""highlightcolor"">בחיפה</b> מודיעה בזה _8י החלד!הרשמה למחזור ג' ...</div>"
81	hbkr19450914-01.2.71	14 September 1945	hbkr	נדמ הנציב בחיפה	"<div class=""txtsearchsnippet"">נדמ הנציב <b class=""highlightcolor"">בחיפה</b></div>"
82	dav19420622-01.2.22	22 June 1942	dav	מה לעשות בשוה _הנראות בחיפה	"<div class=""txtsearchsnippet"">מה לעשות בשוה _הנראות <b class=""highlightcolor"">בחיפה</b></div>"
83	hzh19391227-01.2.55	27 December 1939	hzh	Untitled	"<div class=""txtsearchsnippet"">פעולת מס החירום <b class=""highlightcolor"">בחיפה</b> ! ?החלה למעשה רק לפני ששה שבועות. וועדת הערכה ...</div>"
84	hzh19480502-01.2.70.2	2 May 1948	hzh	Page 4 Advertisements Column 2	"<div class=""txtsearchsnippet"">עיי ‭J1I!!IU1_UI!1I!1_IIU!1IU11!IUIHII!I;!I11I1!1I!I!!1_HI1JS!I11_^‬ א ‭I '‬הרשמתתלמידותלשוה !_ביה־ס לאחיות ביה""ח רוטשילד <b class=""highlightcolor"">בחיפה</b> ‭. m '‬1 J‬ ־ — I הנהלת בית ...</div>"
85	hzh19430113-01.2.44	13 January 1943	hzh	'עיפוו־מה במצב ._האיש£יזבןי.וץ י	"<div class=""txtsearchsnippet"">... _חחויליים האוניברסיטאי של‭"", ‬חדסה"" ?נוספו בחודש האחרון 20 מיטות. <b class=""highlightcolor"">בית החולים</b> ""ביוליניםוך של קופת חו־ 'לים 'רכש את בניין ...</div>"
86	ahr19470415-01.2.88.2	15 April 1947	ahr	Page 4 Advertisements Column 2	"<div class=""txtsearchsnippet"">... הרשמת תלמידות I g הנהלת בית הספר לאחיות ע""י <b class=""highlightcolor"">בית החולים</b> רוטשילד <b class=""highlightcolor"">בחיפה</b> מודיעה § 1 בזה, כי החלה ...</div>"
87	hbkr19470518-01.2.48	18 May 1947	hbkr	התינוקת הגנובה מחיפה נמצאה בחיק אשר? צועניה גנבה אותה ומכרה בשתי לאיי לעקרה	"<div class=""txtsearchsnippet"">... באופן מסתורי שעות אחדות אהר לידתה מבית החולים הממשלתי <b class=""highlightcolor"">בחיפה.</b> האם נמצאת עדיין בטיפול בבית החולים. התברר כי התינוקת ...</div>"
88	hbkr19390110-01.2.7	10 January 1939	hbkr	I העגלון פישל טאלרנרצח בחיפה |	"<div class=""txtsearchsnippet"">I העגלון פישל טאלרנרצח <b class=""highlightcolor"">בחיפה</b> |</div>"
89	haretz19360722-01.2.19.2	22 July 1936	haretz	Page 1 Advertisements Column 2	"<div class=""txtsearchsnippet"">מודעה <b class=""highlightcolor"">בחיפה,</b> בהדד מכרמל על המגרש ברח' הרצל (עיי הטרנספורמטור שי ...</div>"
90	hzh19391228-01.2.36	28 December 1939	hzh	מהנעשה בחיפה	"<div class=""txtsearchsnippet"">מהנעשה <b class=""highlightcolor"">בחיפה</b></div>"
91	hmf19430715-01.2.33	15 July 1943	hmf	חיפה	"<div class=""txtsearchsnippet"">גברה הילודה <b class=""highlightcolor"">בחיפה</b> לרגל רבוי הילודה <b class=""highlightcolor"">בחיפה</b> והדוחק במטות בבית החולים רוטשילד ...</div>"
92	hbkr19460619-01.2.9	19 June 1946	hbkr	הלוית 11 ההרוגים בחיפה	"<div class=""txtsearchsnippet"">הלוית 11 ההרוגים <b class=""highlightcolor"">בחיפה</b></div>"
93	haretz19450107-01.2.21	7 January 1945	haretz	Iן דשימות מחיפה	"<div class=""txtsearchsnippet"">... זה עוד עלול לגדול עם הגדלת תוספת היוקד לעובדי <b class=""highlightcolor"">בית החולים.</b> על דברים אלה חזר ה' ל. ג? בישיבת ...</div>"
94	hashaah19380726-01.2.38	26 July 1938	hashaah	"בבית החולים ""הדסה"" בימים אלה כ״ר"	"<div class=""txtsearchsnippet"">... ^ ""הדר הכרמל"") למטרות שיכון כל־ ליות, ובו שרוי <b class=""highlightcolor"">בית החולים</b> מאז 1925, היינו מן היום הראשון להיווס־ r. ...</div>"
95	hayomjlm19480419-01.2.17	19 April 1948	hayomjlm	הוקס מיניסטריון הבריאות העברי	"<div class=""txtsearchsnippet"">קין. <b class=""highlightcolor"">בית החולים</b> למחלות מדבקות בפרדס כ״ץ ובית החולים לחולי רוח ...</div>"
96	haretz19470415-01.2.25.5	15 April 1947	haretz	Page 1 Advertisements Column 5	"<div class=""txtsearchsnippet"">בי""ס לאחיות ע""י ביה""ח רוטשילד <b class=""highlightcolor"">בחיפה</b> הרשמת תלמידות הנהלת בית הםפר לאחיות עיי <b class=""highlightcolor"">בית החולים</b> ...</div>"
97	hzh19480122-01.2.50	22 January 1948	hzh	כיצד נדחקו העובדים.היהודמ' מניח החולים הממשלתי בחיפה	"<div class=""txtsearchsnippet"">כיצד נדחקו העובדים. היהודמ' מניח החולים הממשלתי <b class=""highlightcolor"">בחיפה</b></div>"
98	haretz19480517-01.2.38	17 May 1948	haretz	כיצד עברו מחלקות הממשלה בהיפה לרשות העיריה	"<div class=""txtsearchsnippet"">במסיבת עתונאים שנערכה בבית העיריה <b class=""highlightcolor"">בחיפה</b> סיפר ראש העיר מר שבתי לויי־ כ צד עברו ...</div>"
